卦象,命中总数,本卦理,本卦,之卦理,之卦,朱子占断,南师占断,朱子解读(AI),南师解读(AI),日常事务建议
666688,0,000000,坤,111100,大壮,以下爻为主：【之卦大壮·五爻辞】六五：丧羊于易，无悔｜参【上爻辞】上六：羝羊触藩，不能退，不能遂，无攸利，艰则吉,取下静爻：【本卦坤·五爻辞】六五：黄裳，元吉(黄：中正；裳：下衣),坤变大壮，初到四共四爻动，朱子断四爻变看之卦两不变之爻、以下爻六五为主。'丧羊于易，无悔'——在田畔边界轻易丢了羊，看似有失，其实顺势放手反而无悔。占得此卦：当柔顺转为强壮、势头上扬时，不必死攥着旧有的执念不放；有些'羊'该松手就松手，顺时舍弃、不强争，自然没有懊悔。,四爻动，南师回看本卦坤下方那个没动的静爻六五——'黄裳，元吉'。黄是正中的颜色，裳是穿在下身的衣裳。这话讲的是：本事再大，也要守在该守的位置，像件下裳一样安分守中，不抢上衣的风头。做人做事，居中、低调、不僭越，这种'大吉'是稳稳当当挣来的，不是逞强抢来的。,工作：由柔转壮宜稳进，舍小失防莽撞｜家庭：家势渐旺当谦守，刚柔相济｜出行：出行可往勿逞强，进退有度｜财富：财运转强守正取，舍小得大｜交友：交游渐广择善处，勿恃强凌人｜学业：势头正好须持恒，戒骄防躁｜健康：精力转旺防过用，张弛有度｜诉讼：占势渐强宜守正，勿强争招困
666689,0,000001,剥,111100,大壮,【之卦大壮·五爻辞】六五：丧羊于易，无悔,取静爻：【本卦剥·五爻辞】六五：贯鱼，以宫人宠，无不利,剥变大壮，五爻皆动、唯六五不变，朱子断五爻变专看之卦那条不变之爻。'丧羊于易，无悔'——在边界处不经意丢了羊，丢得轻松，反倒没什么可悔。占得此卦：剥落已尽、阳气复壮，正当转运之际，对一些小的损失不必耿耿于怀；顺势而为、放下该放下的，无悔自来，切忌为了一只'羊'去硬争硬守。,五爻动，南师叫你回看剥卦没动的那爻六五——'贯鱼，以宫人宠，无不利'。一串鱼用绳子穿起来，整整齐齐；像宫里嫔妃挨个有序受宠，不争不抢，所以没有不利。这话最实在的提醒就是：人多事杂的时候，讲规矩、排好队、各得其分，团队就顺；带头的肯把秩序立起来，大家都得好处。,工作：困境转强宜果进，舍小失得大局｜家庭：家运回升齐奋进，顺承得力｜出行：出行转利可前往，稳中有为｜财富：财势由衰转旺，弃小谋大｜交友：良缘渐聚广结纳，以顺得助｜学业：由弱转强奋进取，持恒必成｜健康：体力回升宜调养，防用力过猛｜诉讼：形势转强守正气，勿失分寸
666696,0,000010,比,111101,大有,【之卦大有·卦辞】大有，元亨,【之卦大有·卦辞】大有，元亨,比卦六爻全变，化为大有。朱子断六爻全变（非乾坤）取之卦卦辞。'大有，元亨'——大有就是大的拥有、丰盛富足，元亨即至为亨通。占得此卦：时运正处盛大昌隆之际，所求多能畅达。然丰盛之时尤须以德配位，宜守正自持、谦以待物，则元亨可久；若恃富而骄，盈满之患便伏于其中。,六爻全变，从'比'一下翻成'大有'，南师说这是'家底一下子厚起来'的格局。'大有，元亨'——东西多、路子通，正是顺风顺水的好时候。可越是这种时候越要清醒：钱多事多，容易飘。把心摆正、把人待厚、把架子放低，好运才接得住、留得久。富了不忘本，盛了不张狂，这才是真本事。,工作：诸事亨通大展宏图，盛运当头｜家庭：家和万事兴，喜庆盈门｜出行：出行大吉遇助缘，四方顺遂｜财富：正财丰盈广进益，富而有德｜交友：广结善缘得众助，人脉兴旺｜学业：勤学大有成就，前程光明｜健康：身心康泰精神足，宜防过劳｜诉讼：占尽天时人和，秉正必胜
666697,0,000011,观,111101,大有,【之卦大有·上爻辞】上九：自天佑之，吉无不利,取静爻：【本卦观·上爻辞】上九：观其生，君子无咎,观变大有，五爻皆动、唯上九不变，朱子断五爻变看之卦那条不变之爻。'自天佑之，吉无不利'——上九居大有之极，因其守信思顺、尚贤崇德，故得上天庇佑，吉而无往不利。占得此卦：身处丰盛之顶，唯以诚信顺理、敬贤向善自处，方能承天之佑；福非偶得，乃德所招，宜益自谦敬，则吉无不利。,五爻动，南师叫你回看观卦没动的上九——'观其生，君子无咎'。人到了高处、众人都看着你，这时候要回头看看自己活成了什么样、立身正不正。是个真君子，行得端、做得正，自然没毛病。这话提醒得很到位：位置越高越要自省，别人都在拿你当镜子，你自己先得照照镜子，照得过去才安稳。,工作：自省进取得天助，吉无不利｜家庭：以德持家多福庆，和顺兴旺｜出行：出行大吉逢善缘，诸事顺遂｜财富：正财亨通有厚获，守德长富｜交友：观德而交得贤助，广纳善友｜学业：勤省勤学大有成，前途光明｜健康：调养得宜身心健，福泽绵长｜诉讼：占理得助占上风，正则大吉
666698,0,000010,比,111100,大壮,【之卦大壮·上爻辞】上六：羝羊触藩，不能退，不能遂，无攸利，艰则吉,取静爻：【本卦比·上爻辞】上六：比之无首，凶,比变大壮，五爻皆动、唯上六不变，朱子断五爻变看之卦那条不变之爻。'羝羊触藩，不能退，不能遂'——公羊用角顶篱笆，角卡住了，进退两难，无所利。占得此卦：当强壮之极而处穷位，最忌恃刚冒进、横冲直撞，以致进退失据；唯知其艰难、收敛刚躁、谨守以待，则'艰则吉'，于困中得安。,五爻动，南师叫你回看比卦没动的上六——'比之无首，凶'。'比'是亲近、抱团，可你来抱团来晚了、又没个带头的，这就凶。讲白了：跟人合作要趁早，还得有主心骨。等大局已定你才凑上去，或者一帮人谁也不服谁、群龙无首，这事多半要砸。提醒就是——入伙趁早，立头要明，别当那个最后才挤进来的。,工作：进退两难宜守正，勿冒进招困｜家庭：亲缘生隙须弥合，忍让化僵局｜出行：不宜远行防受阻，静守待时｜财富：谋利受挫勿强取，守成为上｜交友：交往易生嫌隙，慎处防无首｜学业：遇瓶颈勿急躁，艰守则通｜健康：防旧疾反复，静养忌硬撑｜诉讼：争则两难难收场，守正待和
666699,0,000011,观,111100,大壮,【之卦大壮·卦辞】大壮，利贞,【之卦大壮·卦辞】大壮，利贞,观卦六爻全变，化为大壮。朱子断六爻全变（非乾坤）取之卦卦辞。'大壮，利贞'——大壮乃阳刚盛长之象，其利在于守正。占得此卦：势力正强、声气方盛，所宜者唯一个'正'字。壮而得正，则刚健不至于暴；若恃壮逞强、行不由正，纵一时威猛，终非吉道。守正以驭其壮，方能长保不衰。,六爻全变，翻成'大壮'，南师说这是'力气正旺、势头正足'的局面。'大壮，利贞'——劲儿大是好事，但关键落在'守正'两个字。人一强势就容易横、容易冲动，这时候越要讲规矩、走正道。把力气使在对的地方，别拿强壮去欺人压人。劲大还讲理，才镇得住场子、走得远。,工作：观势蓄力待时壮，守正稳进忌浮躁｜家庭：细察家情再决断，和顺持家添底气｜出行：暂缓观望择时行，稳当不宜急｜财富：先看清再出手，守正积累防冒进｜交友：静观识人辨真伪，重情不轻信｜学业：厚积待发根基牢，戒骄稳步升｜健康：留意隐患早调理，静养固本元｜诉讼：观其变守其正，理直亦忍让
666766,0,000100,豫,111111,乾,【之卦乾·四爻辞】九四：或跃在渊，无咎,取静爻：【本卦豫·四爻辞】九四：由豫，大有得，勿疑，朋盍(hé，合)簪(zān),豫变乾，五爻皆动、唯九四不变，朱子断五爻变看之卦那条不变之爻。'或跃在渊，无咎'——龙欲跃而未必跃，进退之间审时度势，故无咎。占得此卦：正当上进之机，然时未全明，宜如龙之试跃，可进可退、量力相时；不轻举亦不坐失，审几而动，则进退皆得其宜，无咎可保。,五爻动，南师叫你回看豫卦没动的九四——'由豫，大有得，勿疑，朋盍簪'。这爻是一卦的主心骨，欢乐安逸都由它而来，所以大有所得。'勿疑'最要紧——别犹犹豫豫、疑神疑鬼；你一痛快、一信人，朋友就像头发一齐插上簪子那样聚拢来。提醒就是：当主事的要敢担、要信人，别多心，人心自然聚。,工作：顺势得志展抱负，把握良机建功业｜家庭：和乐融融添喜气，齐心其乐融融｜出行：出行顺遂逢机遇，利往皆无碍｜财富：财源渐旺有所得，正道积福厚｜交友：良朋汇聚同欢庆，以诚相待久｜学业：志得意满勤精进，趁势攀高峰｜健康：心情舒畅气血和，适度勿放纵｜诉讼：占理得援可申张，秉正则顺遂
666767,0,000101,晋,111111,乾,以下爻为主：【之卦乾·四爻辞】九四：或跃在渊，无咎｜参【上爻辞】上九：亢(kàng，极、过)龙有悔,取下静爻：【本卦晋·四爻辞】九四：晋如鼫(shí，鼠)鼠，贞厉,晋变乾，四爻动，朱子断四爻变看之卦两不变之爻、以下爻九四为主。'或跃在渊，无咎'——龙在渊上将跃未跃，相时而动故无咎；参上九'亢龙有悔'，则戒其过亢。占得此卦：进取之机已现，宜如龙试跃、审时量力，可上可下；切忌一冲到顶、骄亢自满，知跃之节、明亢之悔，方能无咎。,四爻动，南师叫你回看晋卦下方那个静爻九四——'晋如鼫鼠，贞厉'。鼫鼠就是那种样样会一点、样样不精的'五技鼠'，能飞飞不高、能爬爬不利索。这爻骂的就是：往上爬的时候贪多务得、占着位置又没真本事，这样硬撑下去很危险。提醒很实在——别尸位素餐、别贪位恋栈，有几斤几两办几斤几两的事。,工作：切忌贪进如鼠窜，守正方免危局｜家庭：勿贪求生嫌隙，安分守得和睦｜出行：不宜冒进有险，缓行方为妥｜财富：贪多必失守本分，勿险中强求财｜交友：辨清势利之交，远贪图之人｜学业：忌好高骛远，踏实防浮躁｜健康：防惊惧劳心神，静养安神志｜诉讼：进则有厉宜守，勿贪争招祸端
666768,0,000100,豫,111110,夬,以下爻为主：【之卦夬·四爻辞】九四：臀无肤，其行次且(zī jū，难行)，牵羊悔亡，闻言不信｜参【上爻辞】上六：无号，终有凶,取下静爻：【本卦豫·四爻辞】九四：由豫，大有得，勿疑，朋盍(hé，合)簪(zān),豫变夬，四爻动，朱子断四爻变看之卦两不变之爻、以下爻九四为主。'臀无肤，其行次且'——臀部受伤无肤，行走踉跄难前；'牵羊悔亡，闻言不信'，若能随人而进则悔可亡，惜其刚愎不听劝。占得此卦：当决断之时而自身已伤、举步维艰，宜柔顺随众、虚心纳言；参上六'无号终有凶'，更戒孤行至凶，听劝则免。,四爻动，南师叫你回看豫卦下方那个静爻九四——'由豫，大有得，勿疑，朋盍簪'。整卦的快乐安逸都由这一爻来，所以收获大。'勿疑'是关键：别瞻前顾后、疑东疑西。你这边一爽快、一肯信人，朋友就像簪子归位那样'啪'地聚过来。讲白了就是：当家做主的人要敢拍板、肯交心，别犯嘀咕，人气自然旺。,工作：眼下得势莫大意，前路渐艰宜早防｜家庭：和乐中留余地，防日后生波折｜出行：现顺后阻宜择时，勿贪程远行｜财富：得利后须谨慎，防后续周转难｜交友：交欢时守分寸，防日久生嫌隙｜学业：顺境勿松懈，防后劲不继续｜健康：舒畅时防隐疾，未病先调养｜诉讼：占先莫恋战，见好宜早收手
666769,0,000101,晋,111110,夬,【之卦夬·四爻辞】九四：臀无肤，其行次且(zī jū，难行)，牵羊悔亡，闻言不信,取静爻：【本卦晋·四爻辞】九四：晋如鼫(shí，鼠)鼠，贞厉,晋变夬，五爻皆动、唯九四不变，朱子断五爻变看之卦那条不变之爻。'臀无肤，其行次且，牵羊悔亡，闻言不信'——身伤步难，若肯随群而行则悔亡，惜其执拗不肯听言。占得此卦：处决断之世而自身已困、进退维艰，最宜放下刚愎、顺众纳谏；能牵羊随人、闻善则从，悔可消；若一味不信劝告，则艰难自取。,五爻动，南师叫你回看晋卦没动的九四——'晋如鼫鼠，贞厉'。鼫鼠是那种'五技而穷'的家伙，会的不少、没一样拿得出手。这爻点的毛病是：往上走时贪位贪利、虚有其表，占着好位置却没真功夫，这么混下去迟早出事。提醒很直白——位置别贪、本事要实，撑不起的场面别硬占，免得栽跟头。,工作：进退皆有阻宜谨守，忌贪功冒进｜家庭：勿因贪求生嫌隙，忍让保和睦｜出行：前路艰阻不宜行，守静以待时｜财富：贪进易折宜守成，防破财纠纷｜交友：远贪利之交，慎防反目成仇｜学业：忌浮躁躐等，稳扎根基为要｜健康：防劳损与惊惧，静养以固元｜诉讼：处势不利宜守，勿强争两俱伤
666776,0,000110,萃,111111,乾,以下爻为主：【之卦乾·四爻辞】九四：或跃在渊，无咎｜参【五爻辞】九五：飞龙在天，利见大人,取下静爻：【本卦萃·四爻辞】九四：大吉，无咎,萃变乾，四爻动，朱子断四爻变看之卦两不变之爻、以下爻九四为主。'或跃在渊，无咎'——龙将跃而审时，进退自如故无咎；参九五'飞龙在天，利见大人'，乃更上一层之象。占得此卦：上进之机渐熟，宜如龙试跃、相时量力，可进可守；若时位俱备，则如飞龙在天、利见大人，更宜借势求贤、顺势腾达。,四爻动，南师叫你回看萃卦下方那个静爻九四——'大吉，无咎'。'萃'是聚拢、汇集，到了九四这一步，人也聚了、势也成了，所以说'大吉'，但后头紧跟'无咎'两字大有讲究：得是真大吉，才能没毛病。提醒就是：把人聚起来、把事办成固然好；可越是众望所归，越要心正手净、不偏不私，这'大吉'才坐得稳。,工作：人聚势成大吉利，携手共图进取｜家庭：亲朋团聚添和气，齐心兴家业｜出行：结伴同行皆顺遂，利往必有得｜财富：财源汇聚有大利，正道可广进｜交友：良朋云集得助力，以诚相聚合｜学业：群策群力共精进，得师友之助｜健康：气血充盈精神旺，聚养需有度｜诉讼：得众助占上风，秉正则得吉
666777,0,000111,否,111111,乾,本卦为主：【本卦否·卦辞】否之匪人，不利君子贞，大往小来｜参【之卦乾·卦辞】乾，元亨利贞(元：始；亨：通；利：宜；贞：正),取所动中爻：【本卦否·二爻辞】六二：包承，小人吉，大人否，亨,否变乾，三爻动，朱子断三爻变以本卦卦辞为主、参之卦卦辞。本卦'否之匪人，不利君子贞，大往小来'——天地不交、上下隔绝，小人道长、君子道消之时。占得此卦：眼下闭塞不通，君子守正反似不利，正宜韬晦自守、不强求通达；然参之卦乾'元亨利贞'，否极有泰来之机，守正以待时，塞极终转，亨通可期。,三爻动，南师取所动三爻当中那一爻、即否卦六二——'包承，小人吉，大人否，亨'。天地不通的闭塞年头，小人懂得包容承顺、随大流，反而过得吉利；真正的大人君子，偏要守住那份'否'、不肯同流合污，所以一时受憋，但守得住就终究亨通。提醒很现实：环境不好时，小人圆滑得意，君子宁可吃点亏也别丢了骨气，熬住就有出头日。,工作：时局闭塞多阻碍，守正待通勿强求｜家庭：隔阂难通宜包容，静待和顺来｜出行：诸事不畅不宜行，守静方为安｜财富：财路阻塞防亏损，守成勿冒进｜交友：小人当道宜远避，慎交须守正｜学业：进境受阻宜沉潜，厚积以待时｜健康：气机不畅须调理，静养可疏郁｜诉讼：形势不利宜避争，守正待转机
666778,0,000110,萃,111110,夬,本卦为主：【本卦萃·卦辞】萃，亨，王假有庙，利见大人，亨，利贞。用大牲吉，利有攸往｜参【之卦夬·卦辞】夬，扬于王庭，孚号有厉。告自邑，不利即戎，利有攸往,取所动中爻：【本卦萃·二爻辞】六二：引吉，无咎，孚乃利用禴(yuè，薄祭),萃变夬，三爻动，朱子断三爻变以本卦卦辞为主、参之卦卦辞。本卦'萃，亨，王假有庙，利见大人……用大牲吉，利有攸往'——萃为聚合之时，王者至庙以聚人心，宜见大人、行祭献而有所往。占得此卦：人事方聚、气运向通，宜立诚敬以服众、依贤者以成事；参之卦夬之决断，聚而能决、诚以将事，则利有攸往，所图可成。,三爻动，南师取所动三爻当中那一爻、即萃卦六二——'引吉，无咎，孚乃利用禴'。'引'是被人牵引、顺势相聚；有人拉你一把、你也顺着去，这就吉、没毛病。'孚乃利用禴'是说：只要心里有真诚，哪怕用最薄的祭品也灵验。提醒很暖：聚人聚事靠的不是排场，是一颗实心；有人引你别端着，你待人有真心，薄礼也胜厚礼。,工作：人心汇聚正当兴，把握良机建功业｜家庭：家人齐心添福气，和睦兴门庭｜出行：结伴出行诸事顺，利见贵人助｜财富：财源汇聚有进益，正道可广纳｜交友：贤达云集得扶持，诚心相结交｜学业：得良师益友之助，奋进则有成｜健康：精神振奋气血旺，聚养勿太过｜诉讼：得贵人助占上风，秉正终得直
